artist,song,video
 Shocking Blue , Love Buzz,Green Apple - Modern Love
  Suicidal Tendencies , Posessed To Skate,Underworld - Under Rated
  Die Arzte , Madonna Dickdarm,Underworld - Under Rated
 The Feeblez , Fast One,411VM - Issue 67
 Leeroy Stagger , White Picket Fences,411VM - Issue 67
  The Pharoahs , Damballa,Thrasher - Vidiot
  Muddy Frankenstein , Nightmare,Thrasher - Vidiot
 Circle Jerks , Live Fast Die Young,The Greens Family - Family Madderz
 Captain Beefheart & Magic Band , Sure 'Nuff 'N Yes I Do,The Greens Family - Family Madderz
 The Mermen , Honeybomb,Thrasher - The Truth Hurts
 Billy Childish And The Blackhands , This Is The Blackhand,Thrasher - The Truth Hurts
 Dwarves , Bad Reputation,Thrasher - The Truth Hurts
 DJ Donner Party , Lessannoying,Consolidated - Behold
 Quasi , All the Same,Consolidated - Behold
 Precious Few , Train Kept A Rollin',Blockhead - Adventures In Cheese
 Andy Caldwell , Adventures In La La Land,411VM - Issue 33
 Strung Out , Match Book,411VM - Issue 33
 Jugoe , Kingpin,411VM - Around The World II
 Shmack , Peepers,411VM - Around The World II
"  Mike ""MRZ"" Ruiz & Dash ", Yaper,Red Bull - Seek & Destroy III
  Ford , Drive,Red Bull - Seek & Destroy III
  Dart Parker , Old School Tempo,Red Bull - Seek & Destroy III
 Fugazi , The Kill,3rd Lair - Tales From The Fish House
 Alpha Blondy , Cocody Rock,3rd Lair - Tales From The Fish House
 Ivan & The Swingers , Congo Glide,Acme - A Go-Go
 Carnatons , Scorpion,Acme - A Go-Go
  Big Daddy Kane , The Man; The Icon,Daykare - Good Morning
  Sasparilla Sasquatch , Apeshit,Daykare - Good Morning
 Rondo Brothers , Ukulele Poo,Monster Movie Mag 21
 Kill Your Idols ," Blow Up, Burn Out",Monster Movie Mag 21
 Akrobatik , Front Steps,Puzzle Video 22
 Lacuna Coil , Heaven's A Lie,Puzzle Video 22
 The Hollies , Bus Stop,Few & Far Between
 The Zombies , She's Not There,Few & Far Between
 Incendio , Rambla Pacifica,New Deal - 7 Year Glitch
 Incendio , Illumination,New Deal - 7 Year Glitch
 Sol , The Boxcar,411VM - Issue 47
 Mystic , The Life,411VM - Issue 47
  Chop Shop , Repre Se Nting Lovely,Planet Earth - Hiatus
  Lucious Jackson , Life Of Leisure,Planet Earth - Hiatus
 Mophono , El hugar,Streets: Barcelona
 DJ Romanowski , Strudel Sturt,Streets: Barcelona
 Mophono , It's Real,Streets: Barcelona
  Supernova , Chewbacca (What A Wookie!),Santa Cruz - Home Video
 Napalm & Death , Rughgh,Big Brother - Shit
 Mystr,E ,Big Brother - Shit
 Stars , Elevator Love Letter,411VM - Issue 62
  Aim , Let The Funk Ride,411VM - Issue 62
  MG! The Vissionary , MG! 18,411VM - Issue 62
  Jimi Hendrix ," Rainy Day, Dream Away",Gravity - Gravity Slides
  Hugh Masekela & The Union of South Africa , ADE,Gravity - Gravity Slides
 Jefferson Airplane , White Rabbit,Arcade - Gumbo
 Cornelius Brothers & Sister Rose , Treat Her Like A Lady,Arcade - Gumbo
 Cold Crush Brothers , Subway Theme,Green Apple - Modern Love
 Baby Huey , Hard Times,Green Apple - Modern Love
 Idle Race , Worn Red Carpet,Green Apple - Modern Love
  Maestro Fresh , West ,Underworld - Under Rated
  Social Distortion , Don't Drag Me Down,Underworld - Under Rated
  Leeroy Stagger , Bring It Back,411VM - Issue 67
 Orphan , Orphan 1 ,411VM - Issue 67
  The Greyboy Allstars ," Quantico, VA",Thrasher - Vidiot
  Greyboy , Go Brooklyn,Thrasher - Vidiot
 Kool And The Gang , Hollywood Swinging,The Greens Family - Family Madderz
 Geto Boyz , Mr. Scarface,The Greens Family - Family Madderz
 The Offspring , Session,Thrasher - The Truth Hurts
 The Coup , Funk,Thrasher - The Truth Hurts
 DJ Donner Party , Organ,Consolidated - Behold
 Nik Freitas , Penny,Consolidated - Behold
 Morbid Angel , Within Thy Enemy,Consolidated - Behold
 Louis Prima ," Jump, Jive, An' Wail",Blockhead - Adventures In Cheese
 The Bare Facts , Bad Part of Town,Blockhead - Adventures In Cheese
 April March , Garcon Glacon,411VM - Issue 33
 Unsane , Alleged,411VM - Issue 33
 Mujaji , Siempre,411VM - Around The World II
 DRM , Ana Andi,411VM - Around The World II
  Dart Parker , Yea Son,Red Bull - Seek & Destroy III
  Foolery , Forplay,Red Bull - Seek & Destroy III
 Alpha Blondy , Ariki,3rd Lair - Tales From The Fish House
 Gemtones , Man With The Golden Arm,Acme - A Go-Go
 Paul Gayton , Hot Cross Buns,Acme - A Go-Go
  Iggy And The Stooges , Gimme Danger,Daykare - Good Morning
  The Mooney Suzuki , Electric Sweat,Daykare - Good Morning
  Neil Young , Heart Of Gold,Daykare - Good Morning
 DJ Serios , The Battle,Monster Movie Mag 21
 DJ Serios , 48,Monster Movie Mag 21
 F & B , Savana,Puzzle Video 22
 RJD2 , Smokes And Mirrors,Puzzle Video 22
 Belle & Sebastian , Funny Little Frog,Few & Far Between
 The Velvet Underground , Oh! Sweet Nuthin',Few & Far Between
 Advertising the Invisible , Knee Deep,New Deal - 7 Year Glitch
 Steel Pulse , Handsworth Revolution,New Deal - 7 Year Glitch
 The Faction , Save The Whales,411VM - Issue 47
 The Faction , Accelerate,411VM - Issue 47
  Everclear , Fire Maple Song,Planet Earth - Hiatus
  Minor Threat , Good Guys,Planet Earth - Hiatus
  Butthole Surfers , The Hurdy Gurdy Man,Planet Earth - Hiatus
  Sidecar , Token Cheesy Cover Song,Stink - Free Manure
  Metallica , Motorbreath,Stink - Free Manure
 The Gossip , Listen Up!,Etnies Girl - 12-Pack
 The Kohl Heart , Kiss of Death,Etnies Girl - 12-Pack
 Mophono , Make It Good,Streets: Barcelona
  Nixons , Far Away,Santa Cruz - Home Video
  Queers , I Won't Be,Santa Cruz - Home Video
  Screeching Weasel , Hanging Around,Santa Cruz - Home Video
 Kuling Bros , Che Guevar,Liquid Pixel World Lap
  DJ Frane , Invasion Of The Clearcuttes,411VM - Issue 62
 Bonobo , Scuba,411VM - Issue 62
  Mudhoney , Sonic Infusion,411VM - Issue 62
  Duke Reid & His Group , Duke's Cookies,Gravity - Gravity Slides
  Beastie Boys , Lighten Up,Gravity - Gravity Slides
 The Police , Roxanne,Arcade - Gumbo
 Tortoise , The Taut & Tame (Luke Vibert remix),Arcade - Gumbo
 Jamiroquai , Didjital Vibrations,Arcade - Gumbo
 Syl Johnson , I Hate I Walked Away,Green Apple - Modern Love
 Wu,Tang Clan ,Green Apple - Modern Love
  Built To Spill , There's Nothing Wrong With Love,Underworld - Under Rated
  Booba [Lunatic] , Nouvelle Ecole,Underworld - Under Rated
 Orphan , Orphan 2 ,411VM - Issue 67
  DJ Kechup , Got Kechup ,411VM - Issue 67
  Bugs , Intermission,Thrasher - Vidiot
 W.A.S.P , Hellion,The Greens Family - Family Madderz
 Rich Kids On LSD , Insane,Thrasher - The Truth Hurts
 Didjits , Jimmy,Thrasher - The Truth Hurts
 Mad Flava , Feel The Flava,Thrasher - The Truth Hurts
 Rob Ford , Song #1,Consolidated - Behold
 R.K.lck , Creeper,Consolidated - Behold
 Batman and Other Themes by Maxwell Davis , Harry Danger,Blockhead - Adventures In Cheese
 Batman and Other Themes by Maxwell Davis , Lotta Trouble,Blockhead - Adventures In Cheese
 DJ Egadz , The Movement Of The Soul,411VM - Around The World II
 Gametightelectro , Sock Yo Partna,Red Bull - Seek & Destroy III
 Stimulated Dummies , B,Red Bull - Seek & Destroy III
 Contrails , Mummy Walk,Acme - A Go-Go
 Ron Haydock & The Boppers , Big Boss Go Go Party,Acme - A Go-Go
  Fugazi , Hello Morning,Daykare - Good Morning
  Jurassic 5 , A Day At The Races,Daykare - Good Morning
 Everest , Music Is Dead,Monster Movie Mag 21
  Bodyjar , You Say,Powell - Strip Mall Heroes
  Money Mark , Ba Ba Boom,Powell - Strip Mall Heroes
 ASG , Painted Hatred,Puzzle Video 22
 RJD2 , Work,Puzzle Video 22
  Jimmy Eat World , Bleed American,411VM - Cinema Board Buddy
 The Pharcyde , Drop,411VM - Issue 16
 Brooklyn Funk Essentials , Brooklyn Recycles,411VM - Issue 16
 Dilated Peoples , The Platform (remix),New Deal - 7 Year Glitch
  Agent Orange , Everything Turns Grey,OutLook - Release
  Misfits , London Dungeon,OutLook - Release
  Binary Star , Reality Check,OutLook - Release
 The Faction , Red Elephant,411VM - Issue 47
 Blue States , Stereo 99,411VM - Issue 47
  Cloud Nine , Cloudy Thoughts,Planet Earth - Hiatus
  DJ Dred , Batucada,Planet Earth - Hiatus
  Bad Religion , I Want To Conquer The World,Stink - Free Manure
  DRI , Thrashard,Stink - Free Manure
 The Presets , Down Down Down,Etnies Girl - 12-Pack
 Vox Vermillion , Underground,Etnies Girl - 12-Pack
 The Rakes ," Work, Work, Work (Pub, Club, Sleep)",Etnies Girl - 12-Pack
  Face to Face , I'm Not Afraid,Santa Cruz - Home Video
 Lissen , Nervermore,Liquid Pixel World Lap
 Mel Robinson , Rain,Liquid Pixel World Lap
 Freak Radicals , Fly,Liquid Pixel World Lap
 Desert Heartmusic , Gravitas,Liquid Pixel World Lap
  Pretty Girls Make Graves , The New Romance ,411VM - Issue 62
  DJ Egadz , Half Step,411VM - Issue 62
  Warren Cuccurullo , The Canarsie Daquiri,Gravity - Gravity Slides
  Black Sabbath , Fairies Wear Boots,Gravity - Gravity Slides
 The Clash , Rock the Casbah,Arcade - Gumbo
 Constructive RUKUS , The Hotness,Arcade - Gumbo
 Ice Cube , The Wrong Nigga To Fuck Wit,Green Apple - Modern Love
 Sonny Titt & Oscar Peterson ," Blues For Pres, Sweets Ben & All Over Funky Ones",Green Apple - Modern Love
  NAS , The Message,Underworld - Under Rated
  Gang Starr , The Militia,Underworld - Under Rated
 DJ Kechup , Got Kechup ,411VM - Issue 67
  DJ Egadz , Grim Advantage pt. 1,411VM - Issue 67
  Phi,Life Cypher ,411VM - Issue 67
 Damian Marley , Party Time,The Greens Family - Family Madderz
 MC5 , Looking At You,The Greens Family - Family Madderz
 Bad Religion , American Jesus,Thrasher - The Truth Hurts
 Cosmic Psychos , You Can't Come In,Thrasher - The Truth Hurts
 R.K.lck , SK8,Consolidated - Behold
 Nik Freitas , Penny,Consolidated - Behold
  Mr. Dibbs , 231 Ways To Fry an Egg,Consolidated - Behold
 The Mourning Reign , Satisfaction Guaranteed,Blockhead - Adventures In Cheese
 Mr. Rogers , Be Brave and Then Be Strong,Blockhead - Adventures In Cheese
 Ilya , Rana,411VM - Around The World II
 Beehive & The Barracudas , 7:47,411VM - Around The World II
 SumKid Majere , Popeyes Livin,Red Bull - Seek & Destroy III
 Track Team , On They Fucking Ass,Red Bull - Seek & Destroy III
" Max Nasty, Private ", Red Flag,Red Bull - Seek & Destroy III
 Xterminators , Wild Hare,Acme - A Go-Go
 Man Or Astroman? , Intoxica,Acme - A Go-Go
 Rondo Brothers , The War Chant,Monster Movie Mag 21
 One Be Lo , The Underground,Monster Movie Mag 21
  Cal Tjader , Aquarius,Powell - Strip Mall Heroes
  De La Soul , The Bisness,Powell - Strip Mall Heroes
  Public Enemy , Final Count,Powell - Strip Mall Heroes
  Truck Stop , Wir Nachen Aus Den Water,Powell - Strip Mall Heroes
 RJD2 , Good Times Roll (part 2),Puzzle Video 22
  Minutemen , I Felt Like A Gringo,Savannah Slamma III
  Descendents , Coolidge,Savannah Slamma III
  Midtown , Get It Together,411VM - Cinema Board Buddy
  Thursday , Understanding In A Car Crash,411VM - Cinema Board Buddy
 Hum , Starts,411VM - Issue 16
 DJ Krush , To The Infinity,411VM - Issue 16
 Kiss , Deuce,5boro - Word of Mouth
 GG Allin , New York City Tonight,5boro - Word of Mouth
 Jimmy McGriff , The Worm,New Deal - 7 Year Glitch
 Donovan , Hurdy Gurdy Man,New Deal - 7 Year Glitch
 Shuggie Otis , Strawberry Letter 23,New Deal - 7 Year Glitch
  Dead Kennedys , This Could Be Anywhere (This Could Be Everywhere),OutLook - Release
  Circle Jerks , Wild In The Streets,OutLook - Release
 Jacques Dutronc , Les Cactus,Bigger And Better Things
 Bad Astronaut , Unlucky Stuntman,411VM - Issue 47
 Andy Caldwell , Sin Musica,411VM - Issue 47
 The Grouch , Give And Take,411VM - Issue 47
  A Tribe Called Quest , Luck Of Lucien,Planet Earth - Hiatus
  Fugazi , Margin Walker,Stink - Free Manure
 Von Iva , Soulshaker,Etnies Girl - 12-Pack
 The Most Holy Trinity , Call The Doctor,Etnies Girl - 12-Pack
 Ganger , State Conversation,Liquid Pixel World Lap
 Hellmen , Grind The Bowl,Liquid Pixel World Lap
 Carr Krash , The Agent,Liquid Pixel World Lap
 The Mercury Program , Secret To Quiet,411VM - Issue 62
 American Analog Set , Fool Around,411VM - Issue 62
 The Clash , Bankrobber,Arcade - Gumbo
 Genesis , Hairless Heart,Green Apple - Modern Love
  Modd Deep , Give Up The Goods [Just Step],Underworld - Under Rated
  DJ Grey Boy , Dealing With The Archiv,Underworld - Under Rated
  Minbomb , Produce The Friction,411VM - Issue 67
 Ugly Duckling , I Wanna Go Home,411VM - Issue 67
 James Brown , Pass The Peas,The Greens Family - Family Madderz
 2Pac , Can't C Me,The Greens Family - Family Madderz
 James Brown , World pt. 1,The Greens Family - Family Madderz
 Rancid , Detroit,Thrasher - The Truth Hurts
 Wet Confetti , Goes To Jail,Consolidated - Behold
 Let's Disco! , Last Dance,Blockhead - Adventures In Cheese
 DJ Egadz , Eclectric Fusion,411VM - Around The World II
 Bloody Spurs , Dirrrrrrty,Red Bull - Seek & Destroy III
 Rondo Brothers , Hey Stewardness,Monster Movie Mag 21
  DJ Die , On Time,Powell - Strip Mall Heroes
  Roni Size , Whatever,Powell - Strip Mall Heroes
  Wynton Marsalis , Linus & Lucy,Powell - Strip Mall Heroes
  Henry Mancini , It Had Better Be,Powell - Strip Mall Heroes
  DI , Guns,Vision - Chris Gentry Pro
 The White Stripes , Little Cream Soda,The Smiled Video
 Don McLean , American Pie,The Smiled Video
  SWA , King Of The Pit,Savannah Slamma III
  Stone By Stone , Ghost,Savannah Slamma III
  Banzai Tribe , Is The Sun Gonna Rise,Flexdex - Road FX
  The Impossible 5 , This World Has Had It,Flexdex - Road FX
 Toxic Reasons , Drunk Disorderly,Beer City - Wasted
 Very Metal , Hit And Run,Beer City - Wasted
  Thrice , Deadbolt,411VM - Cinema Board Buddy
  A.F.I. , The Days Of The Phoenix,411VM - Cinema Board Buddy
  Poison The Well , Botchla,411VM - Cinema Board Buddy
 Attica Blues , Contemplating Jazz,411VM - Issue 16
 Butthole Surfers , Revolution 2,411VM - Issue 16
 Dolly Parton , Jolene,5boro - Word of Mouth
 Kenny Rogers , Just Dropped In,5boro - Word of Mouth
 Deltron , Upgrade (A Brymar College Course),New Deal - 7 Year Glitch
 Elton John , Tiny Dancer,New Deal - 7 Year Glitch
 The Stills , Destroyer,Bigger And Better Things
 PM Dawn , Set a Drift on Memory Bliss,Bigger And Better Things
 William Orbit , Pieces In A Modern Style,411VM - Issue 47
 Asop , Provoke Things,411VM - Issue 47
  Kid Brother Collective , Crackerjack,Stink - Free Manure
  US Bombs , Jaks,Stink - Free Manure
  Motorhead ," On Your Feet, On Your Knees",Stink - Free Manure
 Scanners , Low Life,Etnies Girl - 12-Pack
 Djkloud , Tak Taras,Liquid Pixel World Lap
  Drake , Concrete,411VM - Issue 62
 Ralph Myerz and the Jack Herren Band , Savannah,411VM - Issue 62
  The Roots , Respond/React,Underworld - Under Rated
  Jurassic 5 , The Influence,Underworld - Under Rated
  Notorious B.I.G. , I Have A Story To Tell,Underworld - Under Rated
 Kenny Drew , Blues For Nica,Green Apple - Modern Love
  Flevans , Background Music,411VM - Issue 67
  DJ Kechup , Japanman,411VM - Issue 67
 Ray Charles , Lets Go Get Stoned,The Greens Family - Family Madderz
 Bastinado , a Taste of Western Justice,Consolidated - Behold
 Ilya , Isola,411VM - Around The World II
 Floggin Molly , Within A Mile Of Home,Monster Movie Mag 21
  Prince Buster ALlstars , Madness,Powell - Strip Mall Heroes
  James Brown , Get On The Good Foot,Powell - Strip Mall Heroes
  Jamiroquai , Didjerama,Conspiracy Operation
  Rocker's Almighty Dub , Hold This Dub,Conspiracy Operation
 The Sounds , Ego (Alan Moulder UK mix),The Smiled Video
 The Cars , Drive,The Smiled Video
 Modest Mouse , Dashboard,The Smiled Video
  HR , Youthman Sufferer,Savannah Slamma III
  Dinosaur Jr. , Show Me The Way,Savannah Slamma III
  Cougar Sound Project , Rock The ?,Flexdex - Road FX
  The Impossible 5 , Left Behind,Flexdex - Road FX
 The Bloody Beetroots ft. Steve Aoki ," WARP
",Droido
 Toxic Reasons , Rally Round The Flag Boys,Beer City - Wasted
 U.S. Bombs , Great Lakes Of Beer,Beer City - Wasted
 Dayglo Abortions , Scared Of People,Beer City - Wasted
  Taking Back Sunday , Cute Without The E (Cut From The Team),411VM - Cinema Board Buddy
  Stairwell , Breathless,411VM - Cinema Board Buddy
  The Ataris , Teenage Riot,411VM - Cinema Board Buddy
  High Speed Driver , The Touch,Sacto/Street Ramp Contests
 Greyboy , Parkside Bounce,411VM - Issue 16
 Live , I Alone,411VM - Issue 16
 The Rolling Stones , Street Fighting Man,5boro - Word of Mouth
 Nancy Sinatra , Friday's Child,Bigger And Better Things
 Del The Funk Homosapien , Press Rewind,411VM - Issue 47
 Lootpack , Weededed,411VM - Issue 47
 Fila Brazilia , President Chimp Toe,411VM - Issue 47
  Lower East Side Stitches , NYC Is Dead,Stink - Free Manure
  Black Sabbath , The Wizard,Stink - Free Manure
 Kuling Bros , Opiate & Oil,Liquid Pixel World Lap
 Soy Uz , Big Train Station,Liquid Pixel World Lap
  Natty Remo , Robbery Dub (Tief remix),411VM - Issue 62
  Rhythm Doctors , Feels Good,411VM - Issue 62
 Quantic Soul Orchestra , Terrapin,411VM - Issue 62
  Cat Stevens , Another Saturday Night,Underworld - Under Rated
  Smashing Pumpkins , 1979,Underworld - Under Rated
 Curtis Mayfield , Right On For The Darkness,The Greens Family - Family Madderz
 Quantic , Apricot Morning,411VM - Around The World II
 One Be Lo , Akis,Monster Movie Mag 21
  Jeru The Damaja , Ya Played Yaself,Powell - Strip Mall Heroes
  Isotope 147 , Audioboxing,Powell - Strip Mall Heroes
  Creedence Clearwater Revival , Midnight Special,Conspiracy Operation
  Dinosaur Jr. , The Lung,Conspiracy Operation
 Dead Prez , Animal In Man,The Smiled Video
 Creedence Clearwater Revival , Bad Moon Rising,The Smiled Video
 Kiss , Crazy Crazy Nights,The Smiled Video
 Chemical Brothers , Marvo Ging,Nocomply - Jugando En Serio
  Painted Willie , Mother Nature's Breakdown,Savannah Slamma III
  Minutemen , Cut,Savannah Slamma III
  Bring Back Joel , Evaporation Boy,Flexdex - Road FX
  Banzai Tribe , Pieces,Flexdex - Road FX
  The Upbeat , She Go,Flexdex - Road FX
 The Crusties , Raped Eyes,Beer City - Wasted
 Caramell ," Caramelldansen
",Droido
 Ulver ," Not Saved 
",Droido
 Nelly , Tho Dem Wrappers,Droido
  Audio Karate , Nintendo 89,411VM - Cinema Board Buddy
  Strung Out , Cemetary,411VM - Cinema Board Buddy
  Unauthorized Personnel , Unauthorized Personel,Sacto/Street Ramp Contests
  Terrorist Action , Steve Teter,Sacto/Street Ramp Contests
 Skrewdriver , Anti,5boro - Word of Mouth
 Pete Conde Rodriguez , I Like It Like That,5boro - Word of Mouth
 Yes , Roundabout,Bigger And Better Things
